Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_DG-ALNS,AvgResult_DG-ALNS,StdResult_DG-ALNS,AvgTime_DG-ALNS,SuccessRuns_DG-ALNS,FailedRuns_DG-ALNS,FirstError_DG-ALNS
Inst_m2_n10_pi1.0_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,328.3600,328.3600,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,840.9500,840.9500,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,371.0900,371.0900,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,418.5100,418.5100,0.0000,0.2403,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,333.0700,333.0700,0.0000,0.2406,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,433.7700,433.7700,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,988.1700,988.1700,0.0000,0.2407,10,0,
Inst_m2_n10_pi1.0_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,550.6600,550.6600,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,1062.6800,1062.6800,0.0000,0.2403,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,587.4100,587.4100,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,988.1500,988.1500,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,499.6900,499.6900,0.0000,0.2406,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,1400.6500,1400.6500,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1144.5000,1144.5000,0.0000,0.2407,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,194.4300,194.4300,0.0000,0.2407,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1898.0600,1903.1920,10.8192,0.2406,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,1148.8800,1148.8800,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1636.4800,1636.4800,0.0000,0.2406,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,1083.9800,1083.9800,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1432.6800,1432.6800,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,1516.8700,1516.8700,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,1198.6500,1198.6500,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,502.6200,502.6200,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,752.6900,752.6900,0.0000,0.2405,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,1464.4600,1464.4600,0.0000,0.2407,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,695.9600,695.9600,0.0000,0.2403,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,2029.6500,2029.6500,0.0000,0.2404,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1071.8800,1071.8800,0.0000,0.2406,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,952.2800,952.2800,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,238.5700,238.5700,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,1603.2200,1603.2200,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,1236.8400,1236.8400,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,2597.1600,2597.1600,0.0000,0.2402,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1580.0300,1580.0300,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,1166.3900,1166.3900,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1220.0600,1220.0600,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,834.6500,834.6500,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1378.2300,1378.2300,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,328.8800,328.8800,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1859.9700,1859.9700,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,649.8100,652.8910,4.9609,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,594.4700,594.4700,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,2053.8500,2053.8500,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,809.1500,809.1500,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,859.3100,859.3100,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,956.2500,956.2500,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,1794.7200,1794.7200,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1326.6700,1326.6700,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,1842.8000,1842.8000,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,607.7900,607.7900,0.0000,0.2403,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,2752.8900,2752.8900,0.0000,0.2406,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,2189.4900,2189.4900,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,973.4200,973.4200,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,2043.1900,2043.1900,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,1140.2100,1140.2100,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1882.9200,1882.9200,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,2654.5400,2654.5400,0.0000,0.2406,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1484.6600,1484.6600,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,943.7700,943.7700,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1720.3300,1720.3300,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,914.4400,914.4400,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,2067.7000,2067.7000,0.0000,0.2405,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,2111.8300,2111.8300,0.0000,0.2402,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,881.5200,881.5200,0.0000,0.2404,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,1756.8900,1756.8900,0.0000,0.2403,10,0,
