Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_PSO,AvgResult_PSO,StdResult_PSO,AvgTime_PSO,SuccessRuns_PSO,FailedRuns_PSO,FirstError_PSO
Inst_m2_n10_pi1.0_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,1083.9800,1106.9120,72.5174,0.2433,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1432.6800,1460.2320,44.3629,0.2423,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,1516.8700,1541.4160,32.9972,0.2424,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,1198.6500,1198.6500,0.0000,0.2421,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,502.6200,503.2200,1.2649,0.2431,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,752.6900,786.8270,55.0737,0.2426,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,1464.4600,1483.6300,40.4139,0.2429,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,695.9600,695.9600,0.0000,0.2436,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,2029.6500,2066.8320,94.1755,0.2430,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1071.8800,1111.5610,103.3014,0.2425,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,952.2800,952.2800,0.0000,0.2424,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,238.5700,238.5700,0.0000,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,1603.2200,1603.2200,0.0000,0.2425,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,1236.8400,1238.3160,4.6675,0.2429,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,2597.1600,2597.1600,0.0000,0.2431,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1580.0300,1580.0300,0.0000,0.2431,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,1166.3900,1166.3900,0.0000,0.2424,10,0,
