Instance,m,n,Size,Runtime_Setting_MS,Runtime_Setting_S,Repetitions,MinResult_GA,AvgResult_GA,StdResult_GA,AvgTime_GA,SuccessRuns_GA,FailedRuns_GA,FirstError_GA
Inst_m2_n10_pi1.0_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,1400.6500,1403.7390,6.6949,0.2422,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1144.5000,1144.5000,0.0000,0.2417,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,194.4300,194.4300,0.0000,0.2417,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1898.0600,1937.7600,36.3452,0.2416,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,1148.8800,1185.7770,59.4098,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1636.4800,1670.1240,46.1586,0.2419,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,1083.9800,1083.9800,0.0000,0.2413,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1432.6800,1447.0220,31.6897,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,1516.8700,1520.1670,2.0586,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,1198.6500,1199.8950,3.9370,0.2416,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,502.6200,506.1540,7.4503,0.2419,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,752.6900,778.5320,51.0532,0.2415,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,1464.4600,1475.0080,13.6174,0.2419,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,695.9600,706.2570,30.1827,0.2423,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,2029.6500,2033.0340,7.1341,0.2420,10,0,
Inst_m2_n10_pi1.0_TF0.6_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1071.8800,1073.4800,5.0596,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,952.2800,952.2800,0.0000,0.2418,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,238.5700,238.5700,0.0000,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,1603.2200,1606.6730,10.9193,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,1236.8400,1242.1200,7.5725,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,2597.1600,2598.3600,3.7947,0.2415,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,1580.0300,1580.0300,0.0000,0.2423,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,1166.3900,1166.3900,0.0000,0.2419,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1220.0600,1224.0260,8.3034,0.2421,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,834.6500,834.6500,0.0000,0.2419,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1378.2300,1378.2300,0.0000,0.2415,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,328.8800,328.8800,0.0000,0.2419,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1859.9700,1859.9700,0.0000,0.2417,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,649.8100,649.8100,0.0000,0.2417,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,594.4700,594.4700,0.0000,0.2415,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,2053.8500,2068.8230,10.3324,0.2417,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,809.1500,809.1500,0.0000,0.2419,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,859.3100,863.9420,6.0025,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_7.txt,2,10,10×2,240.0000,0.2400,10,956.2500,956.2500,0.0000,0.2422,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_8.txt,2,10,10×2,240.0000,0.2400,10,1794.7200,1794.7200,0.0000,0.2418,10,0,
Inst_m2_n10_pi2.0_TF0.4_R0.6_9.txt,2,10,10×2,240.0000,0.2400,10,1326.6700,1326.6700,0.0000,0.2422,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_1.txt,2,10,10×2,240.0000,0.2400,10,1842.8000,1844.8000,6.3246,0.2425,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_10.txt,2,10,10×2,240.0000,0.2400,10,607.7900,631.2550,49.4607,0.2416,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_2.txt,2,10,10×2,240.0000,0.2400,10,2752.8900,2762.8900,21.0819,0.2415,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_3.txt,2,10,10×2,240.0000,0.2400,10,2189.4900,2205.5960,34.2638,0.2418,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_4.txt,2,10,10×2,240.0000,0.2400,10,973.4200,973.4200,0.0000,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_5.txt,2,10,10×2,240.0000,0.2400,10,2043.1900,2067.3060,29.0480,0.2423,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_6.txt,2,10,10×2,240.0000,0.2400,10,1140.2100,1140.2100,0.0000,0.2416,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_7.txt,2,10,10×2,240.0000,0.2400,10,1882.9200,1936.5200,69.1973,0.2424,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_8.txt,2,10,10×2,240.0000,0.2400,10,2654.5400,2660.3020,18.2210,0.2419,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.4_9.txt,2,10,10×2,240.0000,0.2400,10,1484.6600,1485.3770,1.1545,0.2417,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_1.txt,2,10,10×2,240.0000,0.2400,10,943.7700,943.7700,0.0000,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_10.txt,2,10,10×2,240.0000,0.2400,10,1720.3300,1720.3300,0.0000,0.2418,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_2.txt,2,10,10×2,240.0000,0.2400,10,914.4400,944.2000,25.6133,0.2429,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_3.txt,2,10,10×2,240.0000,0.2400,10,2067.7000,2080.7500,21.0125,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_4.txt,2,10,10×2,240.0000,0.2400,10,2111.8300,2120.9300,28.7767,0.2416,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_5.txt,2,10,10×2,240.0000,0.2400,10,881.5200,888.5920,20.4202,0.2420,10,0,
Inst_m2_n10_pi2.0_TF0.6_R0.6_6.txt,2,10,10×2,240.0000,0.2400,10,1756.8900,1760.0100,4.0279,0.2422,10,0,
