Instance,m,n,pi,TF,R,ID,Model,TimeLimit,CPUTime,RunTime,Status,OFV,BestBound,GapPercent
Inst_m2_n10_pi2.0_TF0.6_R0.6_1.txt,2,10,2,0.6,0.6,1,LO,1800,7097561.78,8.23,2,943.77,943.77,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_10.txt,2,10,2,0.6,0.6,10,LO,1800,7097559.05,5.46,2,1720.33,1720.33,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_2.txt,2,10,2,0.6,0.6,2,LO,1800,7097590.06,36.19,2,914.44,914.44,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_3.txt,2,10,2,0.6,0.6,3,LO,1800,7097570.17,15.21,2,2067.7,2067.7,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_4.txt,2,10,2,0.6,0.6,4,LO,1800,7097562.26,6.82,2,2111.83,2111.83,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_5.txt,2,10,2,0.6,0.6,5,LO,1800,7097583.63,27.18,2,881.52,881.4759,0.005
Inst_m2_n10_pi2.0_TF0.6_R0.6_6.txt,2,10,2,0.6,0.6,6,LO,1800,7097567.91,10.1,2,1756.89,1756.74,0.0085
Inst_m2_n10_pi2.0_TF0.6_R0.6_7.txt,2,10,2,0.6,0.6,7,LO,1800,7097560.06,1.01,2,1179.79,1179.79,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_8.txt,2,10,2,0.6,0.6,8,LO,1800,7097568,7.93,2,2020.1,2020.1,0
Inst_m2_n10_pi2.0_TF0.6_R0.6_9.txt,2,10,2,0.6,0.6,9,LO,1800,7097567.13,5.33,2,1704.33,1704.33,0
Inst_m2_n14_pi0.2_TF0.4_R0.4_1.txt,2,14,0,0,0,0,LO,1800,799513.91,466.48,2,88.31,88.31,0
Inst_m2_n14_pi0.2_TF0.4_R0.4_10.txt,2,14,0,0,0,0,LO,1800,800852.63,1800.11,1,116,64.6814,79.3406
Inst_m2_n14_pi0.2_TF0.4_R0.4_2.txt,2,14,0,0,0,0,LO,1800,799592.7,510.33,2,68.1,68.1,0
Inst_m2_n14_pi0.2_TF0.4_R0.4_3.txt,2,14,0,0,0,0,LO,1800,800895.03,1801.09,1,194.06,115.76,67.6399
Inst_m2_n14_pi0.2_TF0.4_R0.4_4.txt,2,14,0,0,0,0,LO,1800,800985.34,1800.13,1,124.71,105.99,17.662
Inst_m2_n14_pi0.2_TF0.4_R0.4_5.txt,2,14,0,0,0,0,LO,1800,800992.08,1802.76,1,261.83,117.17,123.4616
Inst_m2_n14_pi0.2_TF0.4_R0.4_6.txt,2,14,0,0,0,0,LO,1800,801028.53,1800.48,1,109.7,99.9,9.8098
Inst_m2_n14_pi0.2_TF0.4_R0.4_7.txt,2,14,0,0,0,0,LO,1800,801033.91,1800.07,1,142.56,131.6,8.3283
Inst_m2_n14_pi0.2_TF0.4_R0.4_8.txt,2,14,0,0,0,0,LO,1800,801037.16,1801.23,1,640.5,275.52,132.4695
Inst_m2_n14_pi0.2_TF0.4_R0.4_9.txt,2,14,0,0,0,0,LO,1800,801060.53,1800.02,1,477.29,101.93,368.2527
Inst_m2_n14_pi0.2_TF0.4_R0.6_1.txt,2,14,0,0,0,0,LO,1800,801111.28,1800.13,1,190.59,50.05,280.7992
Inst_m2_n14_pi0.2_TF0.4_R0.6_10.txt,2,14,0,0,0,0,LO,1800,800722.17,1358.21,2,246.3,246.3,0
Inst_m2_n14_pi0.2_TF0.4_R0.6_2.txt,2,14,0,0,0,0,LO,1800,801213.91,1800.15,1,83.93,53.91,55.6854
Inst_m2_n14_pi0.2_TF0.4_R0.6_3.txt,2,14,0,0,0,0,LO,1800,801314.47,1800.3,1,214.41,199.6767,7.3786
Inst_m2_n14_pi0.2_TF0.4_R0.6_4.txt,2,14,0,0,0,0,LO,1800,801329.05,1800.1,1,88.98,44.8383,98.4465
Inst_m2_n14_pi0.2_TF0.4_R0.6_5.txt,2,14,0,0,0,0,LO,1800,801334.89,1800.22,1,164.91,111.26,48.2204
Inst_m2_n14_pi0.2_TF0.4_R0.6_6.txt,2,14,0,0,0,0,LO,1800,801393.03,1800.13,1,116.81,99,17.9899
Inst_m2_n14_pi0.2_TF0.4_R0.6_7.txt,2,14,0,0,0,0,LO,1800,801407.25,1800.31,1,152.35,73.85,106.2965
Inst_m2_n14_pi0.2_TF0.4_R0.6_8.txt,2,14,0,0,0,0,LO,1800,801468.58,1800.02,1,84.09,81.38,3.3301
Inst_m2_n14_pi0.2_TF0.4_R0.6_9.txt,2,14,0,0,0,0,LO,1800,801532.97,1800.11,1,719.2,106.9919,572.2005
Inst_m2_n14_pi0.2_TF0.6_R0.4_1.txt,2,14,0,0,0,0,LO,1800,801610.81,1800.06,1,298.13,125,138.504
Inst_m2_n14_pi0.2_TF0.6_R0.4_10.txt,2,14,0,0,0,0,LO,1800,801821.52,1800.14,1,99.17,55.7154,77.9939
Inst_m2_n14_pi0.2_TF0.6_R0.4_2.txt,2,14,0,0,0,0,LO,1800,802240.5,1800.61,1,420.96,85.31,393.4474
Inst_m2_n14_pi0.2_TF0.6_R0.4_3.txt,2,14,0,0,0,0,LO,1800,802462.44,1800.19,1,1369.42,103.73,1220.1774
Inst_m2_n14_pi0.2_TF0.6_R0.4_4.txt,2,14,0,0,0,0,LO,1800,802523.16,1800.7,1,1077.65,227.2689,374.1739
